Date,Boeing,MacDonalds,Nike,Walmart
8/31/2015,115.58519,83.337814,52.252331,57.173737
9/1/2015,112.719452,81.978401,50.793461,56.369965
9/2/2015,115.540962,84.232422,51.761364,56.917591
9/3/2015,115.885918,84.2061,52.095028,57.288559
9/4/2015,114.771439,83.188736,51.549881,56.431797
9/8/2015,118.362495,84.881454,52.517994,58.63113
9/9/2015,117.327629,83.697433,51.629772,57.518211
9/10/2015,118.12368,83.539566,51.874157,56.634949
9/11/2015,119.114311,85.434006,52.550892,57.103077
9/14/2015,118.902023,85.048088,52.583782,56.77626
9/15/2015,120.55603,86.118095,53.500214,56.811604
9/16/2015,121.352074,86.556641,54.317944,57.138412
9/17/2015,121.573189,85.811142,54.172249,56.94408
9/18/2015,120.37027,85.118256,54.068867,55.946003
9/21/2015,120.30838,85.863747,54.778503,56.281639
9/22/2015,118.512856,85.249809,54.501228,56.166817
9/23/2015,116.460838,85.407684,54.24744,56.281639
9/24/2015,114.762611,85.328751,53.946667,56.378803
9/25/2015,115.877075,85.591858,58.744957,56.334641
9/28/2015,113.329735,84.16227,57.400887,56.228653
9/29/2015,113.878128,85.495407,56.240067,56.334641
9/30/2015,115.823997,86.416306,57.790943,57.270893
10/1/2015,115.523277,86.635551,58.195103,56.767429
10/2/2015,117.248016,87.521378,58.843647,57.394569
10/5/2015,118.539383,88.731735,58.40189,58.180656
10/6/2015,119.078926,89.371971,57.894341,58.01284
10/7/2015,121.192863,89.257965,57.382072,58.613461
10/8/2015,122.979507,90.292885,58.702667,59.072762
10/9/2015,123.563301,90.126236,58.716763,58.904938
10/12/2015,124.430122,90.547241,59.416992,59.116909
10/13/2015,124.085121,90.670013,59.125629,58.940277
10/14/2015,118.716293,90.178871,59.139725,53.022385
10/15/2015,121.520111,90.915611,60.526096,52.404106
10/16/2015,121.705887,91.932991,61.315643,52.015472
10/19/2015,122.431129,91.643562,62.603329,51.980141
10/20/2015,122.838028,91.073456,62.208561,51.891815
10/21/2015,124.88118,89.933289,62.255558,51.794651
10/22/2015,129.409775,97.239159,62.22736,52.024296
10/23/2015,129.75473,98.747696,61.34383,51.494343
10/26/2015,129.75473,98.388115,61.743313,51.247032
10/27/2015,131.311432,97.91449,61.480137,50.770065
10/28/2015,130.798431,99.054665,61.701008,50.911388
10/29/2015,130.179276,98.774017,61.621113,51.194035
10/30/2015,130.966507,98.449516,61.578804,50.558086
11/2/2015,131.258377,98.326721,61.654011,50.884892
11/3/2015,130.984161,98.300415,61.752701,51.326511
11/4/2015,131.883011,98.58107,61.263943,51.556171
11/5/2015,131.687271,98.975739,61.968872,51.768154
11/6/2015,131.660553,99.379181,61.931297,51.918301
11/9/2015,129.916214,99.045921,61.320339,51.662163
11/10/2015,129.177551,99.300255,61.094765,51.829979
11/11/2015,129.035141,99.852783,59.882263,50.858406
11/12/2015,126.854782,98.326721,59.205517,50.301933
11/13/2015,126.899254,96.449806,57.269287,49.833813
11/16/2015,128.527878,97.405807,58.021221,51.114536
11/17/2015,130.005234,97.30056,57.607655,52.925228
11/18/2015,131.96312,98.695068,59.111519,53.817326
11/19/2015,132.81752,99.370415,59.111519,53.614182
11/20/2015,132.959869,99.905426,62.34016,53.057728
11/23/2015,132.016525,100.396576,62.250862,53.225536
11/24/2015,132.292389,100.229919,62.274353,52.925228
11/25/2015,131.20665,100.335175,63.035706,53.207878
11/27/2015,130.77948,100.971626,63.129681,52.898735
11/30/2015,129.44455,100.909744,62.166267,51.971306
12/1/2015,131.482529,101.166077,62.650314,52.103806
12/2/2015,130.788361,100.520805,62.34016,51.970196
12/3/2015,129.542404,100.229103,60.681194,52.584759
12/4/2015,132.158875,102.712952,62.18977,53.136963
12/7/2015,132.114395,102.907425,62.147274,53.885124
12/8/2015,129.035141,103.004662,62.194492,53.092434
12/9/2015,128.367691,103.048843,60.843868,52.664917
12/10/2015,130.298904,103.596893,60.749413,53.047905
12/11/2015,128.705887,102.606888,59.639656,52.86977
12/14/2015,127.264145,102.765999,60.381062,53.787151
12/15/2015,130.405716,103.358223,60.73526,53.119152
12/16/2015,131.811798,104.162598,61.830875,53.706985
12/17/2015,129.542404,103.862076,61.495567,52.531319
12/18/2015,124.22049,103.11956,60.692749,52.415527
12/21/2015,125.395226,104.030006,61.297226,53.038994
12/22/2015,126.712364,104.056549,62.265339,53.92075
12/23/2015,128.207458,105.011192,60.782475,54.410614
12/24/2015,127.735809,104.807861,59.672714,54.17905
12/28/2015,128.634689,104.966972,60.267738,54.107788
12/29/2015,131.135498,106.133774,60.692749,54.87376
12/30/2015,130.298904,105.568054,59.738819,54.936111
12/31/2015,128.679169,104.427765,59.030453,54.597652
1/4/2016,125.03923,103.932777,58.104855,54.740158
1/5/2016,125.546516,105.364754,58.917118,56.040516
1/6/2016,123.553009,104.657623,58.076542,56.601646
1/7/2016,118.373428,102.235649,56.527557,57.919823
1/8/2016,115.685776,102.07653,55.601963,56.592731
1/11/2016,115.881584,103.14608,56.244217,57.198399
1/12/2016,117.403381,103.809021,56.612572,56.66399
1/13/2016,114.02153,101.758301,55.51696,55.149864
1/14/2016,114.982697,103.084213,55.261951,56.165222
1/15/2016,111.80555,101.811348,54.364697,55.158775
1/19/2016,112.188217,103.862076,55.0825,55.719894
1/20/2016,108.699608,102.341705,55.762524,54.18795
1/21/2016,109.820953,104.162598,57.198154,55.114239
1/22/2016,110.897789,104.657623,57.500381,55.835674
1/25/2016,110.363815,105.364754,57.330379,56.512581
1/26/2016,113.923645,106.451996,57.717621,57.002445
1/27/2016,103.751411,106.840919,56.272552,56.957912
1/28/2016,105.024078,108.175652,57.80262,57.198399
1/29/2016,106.910767,109.413162,58.567654,59.104412
2/1/2016,108.183426,110.14682,59.65382,60.119766
2/2/2016,104.587975,109.563431,59.077682,59.549747
2/3/2016,108.459305,107.371269,59.021011,59.024246
2/4/2016,110.007843,106.655296,56.8298,59.157845
2/5/2016,109.07338,102.005821,53.996338,59.674442
2/8/2016,106.323395,102.580368,51.984585,59.585365
2/9/2016,105.79834,103.42894,52.589046,58.614544
2/10/2016,104.513908,103.89743,54.223019,58.596725
2/11/2016,97.400223,103.181458,52.891293,58.178116
2/12/2016,97.570869,104.242165,53.287968,58.944099
2/16/2016,101.136703,105.347076,54.581924,58.694698
2/17/2016,104.495949,104.869759,54.940823,58.881748
2/18/2016,105.600723,103.570366,55.346958,57.109329
2/19/2016,103.436096,103.004662,56.017532,57.590282
2/22/2016,105.439049,104.012329,56.8298,58.454227
2/23/2016,104.998924,103.331696,56.867584,59.211285
2/24/2016,103.822304,103.473137,57.047028,59.781311
2/25/2016,104.927071,104.631088,58.917118,60.600727
2/26/2016,106.130669,104.257019,59.124897,59.237991
2/29/2016,106.148621,104.372803,58.170971,59.086597
3/1/2016,107.747421,105.851234,59.427128,59.193474
3/2/2016,107.468994,105.521729,58.765995,58.970814
3/3/2016,107.433044,103.92749,58.207302,58.908463
3/4/2016,108.7444,104.363899,58.008453,59.4785
3/7/2016,110.388115,104.337173,56.105145,60.467125
3/8/2016,109.894096,105.468292,56.635429,60.600727
3/9/2016,110.352173,106.554832,55.233978,60.591743
3/10/2016,110.424026,106.857658,55.754784,60.484085
3/11/2016,111.941978,108.255936,56.891094,60.268749
3/14/2016,113.47789,109.45829,57.582355,60.43922
3/15/2016,113.495865,109.930313,58.141033,61.094208
3/16/2016,114.582687,110.010483,58.576611,61.004486
3/17/2016,117.39402,109.689865,59.826565,60.519966
3/18/2016,120.322144,110.509239,59.646637,60.071331
3/21/2016,122.028702,110.268768,61.284821,60.986553
3/22/2016,121.364052,110.277672,61.455257,60.896812
3/23/2016,119.334129,110.607201,59.125832,60.528942
3/24/2016,118.669449,109.805649,58.377766,61.013447
3/28/2016,117.923943,109.698753,58.084217,61.121132
3/29/2016,117.555702,110.41127,58.226265,61.04039
3/30/2016,115.489861,112.067856,58.747063,61.731274
3/31/2016,114.0168,111.93425,58.207302,61.453125
4/1/2016,114.034775,113.127693,58.320946,61.96455
4/4/2016,113.47789,113.617516,56.786922,62.00045
4/5/2016,114.097656,113.448311,56.502857,61.587692
4/6/2016,114.906029,113.572983,57.108887,61.946613
4/7/2016,114.070717,114.125183,57.099415,61.210869
